stage_number,stage_title,learning_card_code,learning_card_id,learning_card_title,question_number,question_id,question_type,choice_position_source_order,choice_id,is_correct,text,feedback,represented_misconception,represented_glossary_term,distractor_source,distractor_rationale
1,Before Morning,1.1,what-is-llm,What Is an LLM?,1,v0279-what-is-llm-q1,mechanism,1,v0279-what-is-llm-q1-correct,true,"It scores next tokens from context, appends one, and repeats.",Good distinction. The model is using fixed learned weights and temporary context to make the next-token step.,,,,
1,Before Morning,1.1,what-is-llm,What Is an LLM?,1,v0279-what-is-llm-q1,mechanism,2,v0279-what-is-llm-q1-conscious-reader,false,"It reads with conscious understanding, then writes the whole answer at once.",Not quite. That gives the model too much mind. Fluent behavior can happen without awareness.,conscious mind vs fluent model behavior,llm,same-card,Tempting because fluent text can sound like a human explanation.
1,Before Morning,1.1,what-is-llm,What Is an LLM?,1,v0279-what-is-llm-q1,mechanism,3,v0279-what-is-llm-q1-hidden-search,false,It searches a hidden database and copies the best matching passage.,"This choice reveals a common mix-up. Search can be added around a model, but a plain LLM generates from context and learned weights.",search engine/database vs generative model,retrieval,author-created misconception,Tempting because broad model knowledge can feel like search.
1,Before Morning,1.1,what-is-llm,What Is an LLM?,1,v0279-what-is-llm-q1,mechanism,4,v0279-what-is-llm-q1-weight-change,false,It changes its weights each time the user sends a new prompt.,That would be true only if a separate training process updated weights. Ordinary inference usually leaves weights fixed.,training vs inference,training,same-card,Tempting because the model may seem to adapt within a conversation.
1,Before Morning,1.1,what-is-llm,What Is an LLM?,2,v0279-what-is-llm-q2,human-use-judgment,1,v0279-what-is-llm-q2-correct,true,It generated tokens from context and learned patterns; fluency is not awareness.,Insight strengthened. This is the fluent-behavior-without-awareness boundary Prompt Life wants learners to hold.,,,,
1,Before Morning,1.1,what-is-llm,What Is an LLM?,2,v0279-what-is-llm-q2,human-use-judgment,2,v0279-what-is-llm-q2-inner-awareness,false,It must have inner awareness because the explanation sounds human.,Not quite. That gives the model too much mind. Fluent behavior can happen without awareness.,conscious mind vs fluent model behavior,llm,same-card,Tempting because human-like language invites human-like interpretation.
1,Before Morning,1.1,what-is-llm,What Is an LLM?,2,v0279-what-is-llm-q2,human-use-judgment,3,v0279-what-is-llm-q2-hidden-source,false,It must have found a hidden perfect source and copied the interpretation.,"Close, but this describes search or retrieval better than a plain LLM response. A fluent answer is not the same as cited evidence.",database lookup vs learned generation,retrieval,author-created misconception,Tempting because polished answers can feel copied from a source.
1,Before Morning,1.1,what-is-llm,What Is an LLM?,2,v0279-what-is-llm-q2,human-use-judgment,4,v0279-what-is-llm-q2-prompt-learning,false,The poem prompt permanently taught the base model a new skill.,That would require training. A normal prompt can shape temporary context without durably updating weights.,prompt/context change vs durable weight update,weight-update,same-card,Tempting because earlier context can shape later replies in a chat.
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,1,v0279-where-llms-fit-q1,application,1,v0279-where-llms-fit-q1-correct,true,Generative AI is a family; LLMs and denoising image models are different branches.,"Good distinction. Generative AI is a family, and different branches can use different mechanisms.",,,,
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,1,v0279-where-llms-fit-q1,application,2,v0279-where-llms-fit-q1-all-llms,false,All generative AI tools are LLMs because ChatGPT is generative AI.,"Not quite. An LLM is one kind of generative AI, not the whole category. This collapses distinct layers of the AI landscape; a product, an LLM, and the broader AI category are not interchangeable.",LLM vs generative AI family,generative-ai,same-card,Tempting because ChatGPT is many learners’ first generative AI example.
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,1,v0279-where-llms-fit-q1,application,3,v0279-where-llms-fit-q1-text-only-ai,false,The image tool is not AI unless it generates language tokens.,"Close, but image models can be AI without using the LLM text-token loop. This moves the job to a neighboring model step; tokenization, embeddings, layers, scores, and sampling do different work.",LLM output vs broader generative outputs,diffusion,same-card,Tempting because this app starts with language models.
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,1,v0279-where-llms-fit-q1,application,4,v0279-where-llms-fit-q1-ai-ml-same,false,"AI and machine learning are the same label, so the branches do not matter.",This choice collapses useful categories. Machine learning is a major branch inside the broader AI field.,AI vs machine learning category boundary,machine-learning,same-card,Tempting because public language often blurs these words.
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,2,v02712-where-llms-fit-q2,boundary,1,v02712-where-llms-fit-q2-correct,true,AI is broad; ML learns from data; LLMs generate language or code.,Insight strengthened. The map matters because an LLM is one branch inside a wider AI landscape.,,,,
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,2,v02712-where-llms-fit-q2,boundary,2,v02712-where-llms-fit-q2-2-llm,false,All AI systems are LLMs if they use language.,"That collapses the broad AI family into one model type. This collapses distinct layers of the AI landscape; a product, an LLM, and the broader AI category are not interchangeable.",All AI systems are LLMs if they use language.,LLM,explicit-confusable,"Plausible because LLM is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,2,v02712-where-llms-fit-q2,boundary,3,v02712-where-llms-fit-q2-3-machine-learning,false,Machine learning and AI are exact synonyms.,"That misses that machine learning is a major branch inside broader AI. This collapses distinct layers of the AI landscape; a product, an LLM, and the broader AI category are not interchangeable.",Machine learning and AI are exact synonyms.,machine learning,explicit-confusable,"Plausible because machine learning is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,2,v02712-where-llms-fit-q2,boundary,4,v02712-where-llms-fit-q2-4-diffusion-model,false,Diffusion models and LLMs use the same generation loop.,That treats different generative methods as if they shared one mechanism. This collapses different generative systems; text autoregression and denoising-style generation are related but not the same loop.,Diffusion models and LLMs use the same generation loop.,diffusion model,explicit-confusable,"Plausible because diffusion model is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,3,v0279-where-llms-fit-q3,boundary,1,v0279-where-llms-fit-q3-correct,true,The language-generating model inside the larger product.,"Good distinction. A product may wrap an LLM with tools, policies, and interface pieces.",,,,
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,3,v0279-where-llms-fit-q3,boundary,2,v0279-where-llms-fit-q3-whole-app,false,"The whole app, including every tool and button.","Not quite. The product can include an LLM, but the LLM is not every surrounding tool and screen.",model vs product/app wrapper,ai,author-created misconception,Tempting because users experience the whole product as one AI thing.
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,3,v0279-where-llms-fit-q3,boundary,3,v0279-where-llms-fit-q3-safety-policy,false,The safety policy that blocks some outputs.,"Close, but a safety policy shapes behavior around the model; it is not the language model itself.",policy/guardrail vs model,policy,nearby-stage,Tempting because safety behavior is visible in the product.
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,3,v0279-where-llms-fit-q3,boundary,4,v0279-where-llms-fit-q3-search-index,false,The database or search index the app may call.,This describes a retrieval or search component. The LLM generates language from context and learned weights.,retrieval/search component vs language model,retrieval,author-created misconception,Tempting because some chatbot products include search.
1,Before Morning,1.3,history,Rationalists vs Empiricists,1,v0279-history-q1,boundary,1,v0279-history-q1-correct,true,The rule-based system follows written rules; the LLM uses weights shaped by examples.,"Good distinction. LLMs mostly belong to the learned-patterns tradition, even when products around them use rules.",,,,
1,Before Morning,1.3,history,Rationalists vs Empiricists,1,v0279-history-q1,boundary,2,v0279-history-q1-loss-every-task,false,The rule-based system measures loss and updates weights after every task.,"Not quite. Loss and weight updates belong to training learned models, not to a pure if-then rule system.",symbolic rules vs training loop,loss,same-card,Tempting because loss is nearby in the deep-learning explanation.
1,Before Morning,1.3,history,Rationalists vs Empiricists,1,v0279-history-q1,boundary,3,v0279-history-q1-conscious-llm,false,"The LLM has conscious reasoning, while the rule-based system has none.",That gives the LLM too much mind. The key boundary here is learned weights versus explicit rules.,conscious reasoning vs learned behavior,llm,explicit-confusable,Tempting because LLM language can sound like reasoning from the inside.
1,Before Morning,1.3,history,Rationalists vs Empiricists,1,v0279-history-q1,boundary,4,v0279-history-q1-all-rules,false,There is no difference; both systems are just written rulebooks.,"Close, but LLM behavior is not mainly written as explicit if-then rules; it is shaped by training.",LLM as hand-coded rulebook,symbolic-ai,same-card,Tempting because both systems can produce predictable outputs.
1,Before Morning,1.3,history,Rationalists vs Empiricists,2,v0279-history-q2,mechanism,1,v0279-history-q2-correct,true,Loss measures prediction error so an optimizer can adjust weights.,"Insight strengthened. Loss is the numerical training signal, not a feeling or truth meter.",,,,
1,Before Morning,1.3,history,Rationalists vs Empiricists,2,v0279-history-q2,mechanism,2,v0279-history-q2-moral-good,false,Loss tells the model whether a generated answer is morally good.,Not quite. Loss is a numerical error signal; alignment and policy questions need additional methods.,loss vs human value judgment,loss,same-card,Tempting because loss sounds like a judgment word.
1,Before Morning,1.3,history,Rationalists vs Empiricists,2,v0279-history-q2,mechanism,3,v0279-history-q2-confidence-score,false,Loss is the model’s confidence score for the next token during generation.,"Close, but confidence or probability shapes generation. Loss measures training error so weights can be adjusted.",loss vs confidence/probability during generation,probability,nearby-stage,Tempting because both are numerical signals related to prediction.
1,Before Morning,1.3,history,Rationalists vs Empiricists,2,v0279-history-q2,mechanism,4,v0279-history-q2-final-answer,false,Loss writes the final answer after the model has finished thinking.,"Not quite. Loss is used during training; it is not the model writing a response. This makes a current-use step permanent; ordinary prompts, retrieval, and inference do not automatically rewrite weights.",training signal vs response generation,response,nearby-stage,Tempting because learners may treat every internal step as answer writing.
1,Before Morning,1.3,history,Rationalists vs Empiricists,3,v02712-history-q3,boundary,1,v02712-history-q3-correct,true,The product is hybrid; the LLM remains learned-pattern AI.,Good distinction. Modern AI products can mix traditions without making the model itself rule-based.,,,,
1,Before Morning,1.3,history,Rationalists vs Empiricists,3,v02712-history-q3,boundary,2,v02712-history-q3-2-symbolic-ai,false,The hand-written checks turn the LLM into symbolic AI.,That confuses a product wrapper with the model inside it. This treats lookup or citation as learning or truth; retrieved evidence can help only when the system uses and checks it well.,The hand-written checks turn the LLM into symbolic AI.,symbolic AI,explicit-confusable,"Plausible because symbolic AI is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.3,history,Rationalists vs Empiricists,3,v02712-history-q3,boundary,3,v02712-history-q3-3-rag,false,The handbook lookup permanently rewrites the model weights.,"Retrieval can add context without becoming durable training. This makes a current-use step permanent; ordinary prompts, retrieval, and inference do not automatically rewrite weights.",The retrieved handbook permanently rewrites the model weights.,RAG,explicit-confusable,"Plausible because RAG is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.3,history,Rationalists vs Empiricists,3,v02712-history-q3,boundary,4,v02712-history-q3-4-alignment,false,The policy checks prove the model has moral understanding.,"Policy behavior is not the same as conscience or awareness. This gives the system human-like awareness or intent; shaped behavior is still not a mind, motive, or conscience.",The policy checks prove the model has moral understanding.,alignment,explicit-confusable,"Plausible because alignment is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.4,training,Training,1,v0279-training-q1,mechanism,1,v0279-training-q1-correct,true,The training process uses the loss signal to update weights.,Good distinction. The durable weight update is what makes this training.,,,,
1,Before Morning,1.4,training,Training,1,v0279-training-q1,mechanism,2,v0279-training-q1-append-response,false,The model appends the mistaken token to a normal live response.,Not quite. Appending a response token is inference behavior; training uses loss to change weights.,training vs autoregressive inference,inference,same-card,Tempting because generation also chooses and appends tokens.
1,Before Morning,1.4,training,Training,1,v0279-training-q1,mechanism,3,v0279-training-q1-durable-memory,false,The prompt becomes durable memory stored inside the model’s weights.,This choice reveals a common mix-up. Context can shape the current chat without becoming a weight update.,context vs durable weight update,memory,author-created misconception,Tempting because chat context can feel remembered.
1,Before Morning,1.4,training,Training,1,v0279-training-q1,mechanism,4,v0279-training-q1-likelihood-truth,false,The model treats the most likely answer as automatically true.,"Not quite. Likelihood is not truth, and this training moment matters because loss can drive a weight update.",likelihood vs truth,probability,nearby-stage,Tempting because likely answers can sound authoritative.
1,Before Morning,1.4,training,Training,2,v0279-training-q2,boundary,1,v0279-training-q2-correct,true,It uses fixed weights and temporary context; the chat does not rewrite weights.,"Insight strengthened. Normal chat inference can use context, but it usually does not rewrite weights.",,,,
1,Before Morning,1.4,training,Training,2,v0279-training-q2,boundary,2,v0279-training-q2-permanent-update,false,The chat permanently updates the base model’s weights.,"Not quite. That would require a training process, not ordinary inference. This makes a current-use step permanent; ordinary prompts, retrieval, and inference do not automatically rewrite weights.",ordinary inference vs training update,training,same-card,Tempting because the model appears to adapt to the user.
1,Before Morning,1.4,training,Training,2,v0279-training-q2,boundary,3,v0279-training-q2-durable-memory,false,The model stores the prompt as durable memory inside its weights.,This choice reveals a common mix-up. Context can shape the current chat without becoming a weight update.,context vs durable memory/weights,memory,author-created misconception,Tempting because the model can refer to earlier chat context.
1,Before Morning,1.4,training,Training,2,v0279-training-q2,boundary,4,v0279-training-q2-optimizer-after-response,false,The optimizer trains the model after every response.,"Close, but optimizers update weights during training, not after every normal response.",optimizer/weight update vs normal response,weight-update,same-card,Tempting because training and inference both involve model computation.
1,Before Morning,1.4,training,Training,3,v0279-training-q3,causal-consequence,1,v0279-training-q3-correct,true,Training changes reusable weights; inference uses temporary computation.,Good distinction. Durable parameters carry forward; inference-time states usually do not.,,,,
1,Before Morning,1.4,training,Training,3,v0279-training-q3,causal-consequence,2,v0279-training-q3-optimizer-inference,false,Inference is where the optimizer changes weights for future runs.,"Not quite. Optimizer-driven weight updates belong to training, not ordinary inference.",optimizer/weight update vs inference,weight-update,same-card,Tempting because both training and inference run model computations.
1,Before Morning,1.4,training,Training,3,v0279-training-q3,causal-consequence,3,v0279-training-q3-prompt-only,false,Training only changes the visible prompt text for one response.,"Close, but prompt changes are temporary input changes; training changes learned numbers.",prompt/context vs weights,prompt,nearby-stage,Tempting because prompt text clearly changes a response.
1,Before Morning,1.4,training,Training,3,v0279-training-q3,causal-consequence,4,v0279-training-q3-truth-guarantee,false,Training guarantees that every future answer will be true.,"This choice overclaims. Training can improve behavior, but it does not guarantee truth.",training improvement vs truth guarantee,probability,author-created misconception,Tempting because training sounds like making the model better.
1,Before Morning,1.4,training,Training,4,v0279-training-q4,model-trace,1,v0279-training-q4-correct,true,Example -> prediction -> loss -> weight update.,Insight strengthened. That is the weight-changing path.,,,,
1,Before Morning,1.4,training,Training,4,v0279-training-q4,model-trace,2,v0279-training-q4-generation-loop,false,Prompt -> response token -> append -> next response token.,"Close, but that sequence describes inference/generation, not training. This makes a current-use step permanent; ordinary prompts, retrieval, and inference do not automatically rewrite weights.",training loop vs autoregressive generation,autoregression,nearby-stage,Tempting because this is the model’s generation loop.
1,Before Morning,1.4,training,Training,4,v0279-training-q4,model-trace,3,v0279-training-q4-search-context,false,Search -> outside passage -> current context -> answer.,That describes a search or retrieval step. It can add temporary context; it does not by itself update weights.,training vs retrieval/context,retrieval,author-created misconception,Tempting because outside text can improve an answer.
1,Before Morning,1.4,training,Training,4,v0279-training-q4,model-trace,4,v0279-training-q4-user-correction,false,User correction -> better answer -> permanent learning inside the same chat.,"Not quite. A correction can steer the current conversation, but durable learning requires a training process.",conversation steering vs durable training,training,same-card,Tempting because a correction can improve the current conversation.
1,Before Morning,1.5,pretraining,Pretraining,1,v0279-pretraining-q1,mechanism,1,v0279-pretraining-q1-correct,true,Next-token loss changes weights over many training steps.,Good distinction. Pretraining scales the training loop across many examples.,,,,
1,Before Morning,1.5,pretraining,Pretraining,1,v0279-pretraining-q1,mechanism,2,v0279-pretraining-q1-live-chat,false,A user conversation at deployment permanently rewrites the model.,Not quite. Pretraining happens before normal use; an ordinary chat usually does not rewrite weights.,pretraining vs inference,inference,same-card,Tempting because the model can seem to adapt inside a chat.
1,Before Morning,1.5,pretraining,Pretraining,1,v0279-pretraining-q1,mechanism,3,v0279-pretraining-q1-written-rules,false,A human writes every rule the model will follow.,"Close, but pretraining is learned from examples, not a complete rulebook written by hand.",learned patterns vs symbolic rules,symbolic-ai,nearby-stage,Tempting because software often has hand-written rules.
1,Before Morning,1.5,pretraining,Pretraining,1,v0279-pretraining-q1,mechanism,4,v0279-pretraining-q1-perfect-copy,false,The model stores a perfect copy of every source document.,This choice reveals a common mix-up. Pretraining shapes weights; it is not perfect document storage.,pattern learning vs perfect source recall,training-data,same-card,Tempting because source data influences the model.
