repair_id,priority,question_id,status,issue_flags,notes
UNFLAGGED,review,v0279-what-is-llm-q1,answer-length-revised,,"v0279-what-is-llm-q1-correct: It scores next tokens from context, appends one, and repeats."
UNFLAGGED,review,v0279-what-is-llm-q2,answer-length-revised,,v0279-what-is-llm-q2-correct: It generated tokens from context and learned patterns; fluency is not awareness.
UNFLAGGED,review,v0279-where-llms-fit-q1,wrong-feedback-revised,,"v0279-where-llms-fit-q1-all-llms: Not quite. An LLM is one kind of generative AI, not the whole category. This collapses distinct layers of the AI landscape; a product, an LLM, and the broader AI category are not interchangeable."
UNFLAGGED,review,v0279-where-llms-fit-q1,wrong-feedback-revised,,"v0279-where-llms-fit-q1-text-only-ai: Close, but image models can be AI without using the LLM text-token loop. This moves the job to a neighboring model step; tokenization, embeddings, layers, scores, and sampling do different work."
UNFLAGGED,review,v02712-where-llms-fit-q2,answer-length-revised,,v02712-where-llms-fit-q2-correct: AI is broad; ML learns from data; LLMs generate language or code.
UNFLAGGED,review,v02712-where-llms-fit-q2,wrong-feedback-revised,,"v02712-where-llms-fit-q2-2-llm: That collapses the broad AI family into one model type. This collapses distinct layers of the AI landscape; a product, an LLM, and the broader AI category are not interchangeable."
UNFLAGGED,review,v02712-where-llms-fit-q2,wrong-feedback-revised,,"v02712-where-llms-fit-q2-3-machine-learning: That misses that machine learning is a major branch inside broader AI. This collapses distinct layers of the AI landscape; a product, an LLM, and the broader AI category are not interchangeable."
UNFLAGGED,review,v02712-where-llms-fit-q2,wrong-feedback-revised,,v02712-where-llms-fit-q2-4-diffusion-model: That treats different generative methods as if they shared one mechanism. This collapses different generative systems; text autoregression and denoising-style generation are related but not the same loop.
UNFLAGGED,review,v0279-history-q2,wrong-feedback-revised,,"v0279-history-q2-final-answer: Not quite. Loss is used during training; it is not the model writing a response. This makes a current-use step permanent; ordinary prompts, retrieval, and inference do not automatically rewrite weights."
UNFLAGGED,review,v02712-history-q3,answer-length-revised,,v02712-history-q3-correct: The product is hybrid; the LLM remains learned-pattern AI.
UNFLAGGED,review,v02712-history-q3,wrong-feedback-revised,,v02712-history-q3-2-symbolic-ai: That confuses a product wrapper with the model inside it. This treats lookup or citation as learning or truth; retrieved evidence can help only when the system uses and checks it well.
UNFLAGGED,review,v02712-history-q3,wrong-feedback-revised,,"v02712-history-q3-3-rag: Retrieval can add context without becoming durable training. This makes a current-use step permanent; ordinary prompts, retrieval, and inference do not automatically rewrite weights."
UNFLAGGED,review,v02712-history-q3,wrong-feedback-revised,,"v02712-history-q3-4-alignment: Policy behavior is not the same as conscience or awareness. This gives the system human-like awareness or intent; shaped behavior is still not a mind, motive, or conscience."
UNFLAGGED,review,v0279-training-q2,answer-length-revised,,v0279-training-q2-correct: It uses fixed weights and temporary context; the chat does not rewrite weights.
UNFLAGGED,review,v0279-training-q2,wrong-feedback-revised,,"v0279-training-q2-permanent-update: Not quite. That would require a training process, not ordinary inference. This makes a current-use step permanent; ordinary prompts, retrieval, and inference do not automatically rewrite weights."
UNFLAGGED,review,v0279-training-q3,answer-length-revised,,v0279-training-q3-correct: Training changes reusable weights; inference uses temporary computation.
UNFLAGGED,review,v0279-training-q4,wrong-feedback-revised,,"v0279-training-q4-generation-loop: Close, but that sequence describes inference/generation, not training. This makes a current-use step permanent; ordinary prompts, retrieval, and inference do not automatically rewrite weights."
UNFLAGGED,review,v0279-pretraining-q1,answer-length-revised,,v0279-pretraining-q1-correct: Next-token loss changes weights over many training steps.
UNFLAGGED,review,v0279-pretraining-q2,wrong-feedback-revised,,"v0279-pretraining-q2-private-files: Not quite. Training data exposure is not the same as access to every private file. This makes a current-use step permanent; ordinary prompts, retrieval, and inference do not automatically rewrite weights."
UNFLAGGED,review,v0279-pretraining-q3,wrong-feedback-revised,,"v0279-pretraining-q3-interface: This describes product UI changes, not the model’s learned parameters. This makes a current-use step permanent; ordinary prompts, retrieval, and inference do not automatically rewrite weights."
UNFLAGGED,review,v02712-pretraining-q4,wrong-feedback-revised,,"v02712-pretraining-q4-2-retrieval: Search is a system/tool action, not something pretraining proves. This treats lookup or citation as learning or truth; retrieved evidence can help only when the system uses and checks it well."
